Zipcode,Housing,Transportation,Food,Healthcare,Personal Insurance,Apparel,Services,Entertainment,Other,Monthly Expense,Income Adjustment Factor,City,State
00687,2000,600,500,340,1000,250,300,350,200,5540,1,MOROVIS,PR
00688,2200,600,500,340,1000,250,300,350,200,5740,1.1,SABANA HOYOS,PR
00690,2400,600,500,340,1000,250,300,350,200,5940,1.2,SAN ANTONIO,PR
00692,1800,600,500,340,1000,250,300,350,200,5340,0.9,VEGA ALTA,PR
00692,1600,600,500,340,1000,250,300,350,200,5140,0.8,VEGA ALTA,PR
00693,2000,600,500,340,1000,250,300,350,200,5540,1,VEGA BAJA,PR
00694,2200,600,500,340,1000,250,300,350,200,5740,1.1,VEGA BAJA,PR
00698,2400,600,500,340,1000,250,300,350,200,5940,1.2,YAUCO,PR
00703,1800,600,500,340,1000,250,300,350,200,5340,0.9,AGUAS BUENAS,PR
00704,1600,600,500,340,1000,250,300,350,200,5140,0.8,AGUIRRE,PR
00705,2000,600,500,340,1000,250,300,350,200,5540,1,AIBONITO,PR
00707,2200,600,500,340,1000,250,300,350,200,5740,1.1,MAUNABO,PR
00714,2400,600,500,340,1000,250,300,350,200,5940,1.2,ARROYO,PR
00715,1800,600,500,340,1000,250,300,350,200,5340,0.9,MERCEDITA,PR
00716,1600,600,500,340,1000,250,300,350,200,5140,0.8,PONCE,PR
00717,2000,600,500,340,1000,250,300,350,200,5540,1,PONCE,PR
00718,2200,600,500,340,1000,250,300,350,200,5740,1.1,NAGUABO,PR
00719,2400,600,500,340,1000,250,300,350,200,5940,1.2,NARANJITO,PR
00720,1800,600,500,340,1000,250,300,350,200,5340,0.9,OROCOVIS,PR
00721,1600,600,500,340,1000,250,300,350,200,5140,0.8,PALMER,PR
00723,2000,600,500,340,1000,250,300,350,200,5540,1,PATILLAS,PR
00725,2200,600,500,340,1000,250,300,350,200,5740,1.1,CAGUAS,PR
00725,2400,600,500,340,1000,250,300,350,200,5940,1.2,CAGUAS,PR
00726,1800,600,500,340,1000,250,300,350,200,5340,0.9,CAGUAS,PR
00726,1600,600,500,340,1000,250,300,350,200,5140,0.8,CAGUAS,PR
00727,2000,600,500,340,1000,250,300,350,200,5540,1,CAGUAS,PR
00727,2200,600,500,340,1000,250,300,350,200,5740,1.1,CAGUAS,PR
00728,2400,600,500,340,1000,250,300,350,200,5940,1.2,PONCE,PR
00729,1800,600,500,340,1000,250,300,350,200,5340,0.9,CANOVANAS,PR
00730,1600,600,500,340,1000,250,300,350,200,5140,0.8,PONCE,PR
00731,2000,600,500,340,1000,250,300,350,200,5540,1,PONCE,PR
00732,2200,600,500,340,1000,250,300,350,200,5740,1.1,PONCE,PR
00732,2400,600,500,340,1000,250,300,350,200,5940,1.2,PONCE,PR
00733,1800,600,500,340,1000,250,300,350,200,5340,0.9,PONCE,PR
00735,1600,600,500,340,1000,250,300,350,200,5140,0.8,CEIBA,PR
00736,2000,600,500,340,1000,250,300,350,200,5540,1,CAYEY,PR
00737,2200,600,500,340,1000,250,300,350,200,5740,1.1,CAYEY,PR
00738,2400,600,500,340,1000,250,300,350,200,5940,1.2,FAJARDO,PR
00739,1800,600,500,340,1000,250,300,350,200,5340,0.9,CIDRA,PR
00740,1600,600,500,340,1000,250,300,350,200,5140,0.8,FAJARDO,PR
00740,2000,600,500,340,1000,250,300,350,200,5540,1,PUERTO REAL,PR
00741,2200,600,500,340,1000,250,300,350,200,5740,1.1,HUMACAO,PR
00741,2400,600,500,340,1000,250,300,350,200,5940,1.2,PUNTA SANTIAGO,PR
00744,1800,600,500,340,1000,250,300,350,200,5340,0.9,RIO BLANCO,PR
00745,1600,600,500,340,1000,250,300,350,200,5140,0.8,RIO GRANDE,PR
00751,2000,600,500,340,1000,250,300,350,200,5540,1,SALINAS,PR
00754,2200,600,500,340,1000,250,300,350,200,5740,1.1,SAN LORENZO,PR
00757,2400,600,500,340,1000,250,300,350,200,5940,1.2,SANTA ISABEL,PR
00765,1800,600,500,340,1000,250,300,350,200,5340,0.9,VIEQUES,PR
00766,1600,600,500,340,1000,250,300,350,200,5140,0.8,VILLALBA,PR
00767,2000,600,500,340,1000,250,300,350,200,5540,1,YABUCOA,PR
00769,2200,600,500,340,1000,250,300,350,200,5740,1.1,COAMO,PR
00771,2400,600,500,340,1000,250,300,350,200,5940,1.2,LAS PIEDRAS,PR
00772,1800,600,500,340,1000,250,300,350,200,5340,0.9,LOIZA,PR
00773,1600,600,500,340,1000,250,300,350,200,5140,0.8,LUQUILLO,PR
00775,2000,600,500,340,1000,250,300,350,200,5540,1,CULEBRA,PR
00777,2200,600,500,340,1000,250,300,350,200,5740,1.1,JUNCOS,PR
00778,2400,600,500,340,1000,250,300,350,200,5940,1.2,GURABO,PR
00780,1800,600,500,340,1000,250,300,350,200,5340,0.9,COTO LAUREL,PR
00782,1600,600,500,340,1000,250,300,350,200,5140,0.8,COMERIO,PR
00783,2000,600,500,340,1000,250,300,350,200,5540,1,COROZAL,PR
00783,2200,600,500,340,1000,250,300,350,200,5740,1.1,COROZAL,PR
00784,2400,600,500,340,1000,250,300,350,200,5940,1.2,GUAYAMA,PR
00785,1800,600,500,340,1000,250,300,350,200,5340,0.9,GUAYAMA,PR
00786,1600,600,500,340,1000,250,300,350,200,5140,0.8,LA PLATA,PR
00791,2000,600,500,340,1000,250,300,350,200,5540,1,HUMACAO,PR
00792,2200,600,500,340,1000,250,300,350,200,5740,1.1,HUMACAO,PR
00794,2400,600,500,340,1000,250,300,350,200,5940,1.2,BARRANQUITAS,PR
00795,1800,600,500,340,1000,250,300,350,200,5340,0.9,JUANA DIAZ,PR
00801,1600,600,500,340,1000,250,300,350,200,5140,0.8,ST THOMAS,VI
00801,2000,600,500,340,1000,250,300,350,200,5540,1,ST THOMAS,VI
00802,2200,600,500,340,1000,250,300,350,200,5740,1.1,ST THOMAS,VI
00802,2400,600,500,340,1000,250,300,350,200,5940,1.2,ST THOMAS,VI
00803,1800,600,500,340,1000,250,300,350,200,5340,0.9,ST THOMAS,VI
00804,1600,600,500,340,1000,250,300,350,200,5140,0.8,ST THOMAS,VI
00805,2000,600,500,340,1000,250,300,350,200,5540,1,ST THOMAS,VI
00820,2200,600,500,340,1000,250,300,350,200,5740,1.1,CHRISTIANSTED,VI
00821,2400,600,500,340,1000,250,300,350,200,5940,1.2,CHRISTIANSTED,VI
00822,1800,600,500,340,1000,250,300,350,200,5340,0.9,CHRISTIANSTED,VI
00823,1600,600,500,340,1000,250,300,350,200,5140,0.8,CHRISTIANSTED,VI
00824,2000,600,500,340,1000,250,300,350,200,5540,1,CHRISTIANSTED,VI
00830,2200,600,500,340,1000,250,300,350,200,5740,1.1,ST JOHN,VI
00831,2400,600,500,340,1000,250,300,350,200,5940,1.2,ST JOHN,VI
00840,1800,600,500,340,1000,250,300,350,200,5340,0.9,FREDERIKSTED,VI
00841,1600,600,500,340,1000,250,300,350,200,5140,0.8,FREDERIKSTED,VI
00850,2000,600,500,340,1000,250,300,350,200,5540,1,KINGSHILL,VI
00851,2200,600,500,340,1000,250,300,350,200,5740,1.1,KINGSHILL,VI
00901,2400,600,500,340,1000,250,300,350,200,5940,1.2,SAN JUAN,PR
00902,1800,600,500,340,1000,250,300,350,200,5340,0.9,SAN JUAN,PR
00907,1600,600,500,340,1000,250,300,350,200,5140,0.8,SAN JUAN,PR
00908,2000,600,500,340,1000,250,300,350,200,5540,1,SAN JUAN,PR
00908,2200,600,500,340,1000,250,300,350,200,5740,1.1,SAN JUAN,PR
00909,2400,600,500,340,1000,250,300,350,200,5940,1.2,SAN JUAN,PR
00910,1800,600,500,340,1000,250,300,350,200,5340,0.9,SAN JUAN,PR
00911,1600,600,500,340,1000,250,300,350,200,5140,0.8,SAN JUAN,PR
00912,2000,600,500,340,1000,250,300,350,200,5540,1,SAN JUAN,PR
00913,2200,600,500,340,1000,250,300,350,200,5740,1.1,SAN JUAN,PR
00914,2400,600,500,340,1000,250,300,350,200,5940,1.2,SAN JUAN,PR
00915,1800,600,500,340,1000,250,300,350,200,5340,0.9,SAN JUAN,PR
00916,1600,600,500,340,1000,250,300,350,200,5140,0.8,SAN JUAN,PR
00917,2000,600,500,340,1000,250,300,350,200,5540,1,SAN JUAN,PR
00918,2200,600,500,340,1000,250,300,350,200,5740,1.1,SAN JUAN,PR
00919,2400,600,500,340,1000,250,300,350,200,5940,1.2,SAN JUAN,PR
00920,1800,600,500,340,1000,250,300,350,200,5340,0.9,SAN JUAN,PR
00921,1600,600,500,340,1000,250,300,350,200,5140,0.8,SAN JUAN,PR
00922,2000,600,500,340,1000,250,300,350,200,5540,1,GUAYNABO,PR
00923,2200,600,500,340,1000,250,300,350,200,5740,1.1,SAN JUAN,PR
00924,2400,600,500,340,1000,250,300,350,200,5940,1.2,SAN JUAN,PR
00925,1800,600,500,340,1000,250,300,350,200,5340,0.9,SAN JUAN,PR
00926,1600,600,500,340,1000,250,300,350,200,5140,0.8,SAN JUAN,PR
00927,2000,600,500,340,1000,250,300,350,200,5540,1,SAN JUAN,PR
00928,2200,600,500,340,1000,250,300,350,200,5740,1.1,SAN JUAN,PR
00928,2400,600,500,340,1000,250,300,350,200,5940,1.2,SAN JUAN,PR
00929,1800,600,500,340,1000,250,300,350,200,5340,0.9,SAN JUAN,PR
00931,1600,600,500,340,1000,250,300,350,200,5140,0.8,SAN JUAN,PR
00933,2000,600,500,340,1000,250,300,350,200,5540,1,SAN JUAN,PR
00934,2200,600,500,340,1000,250,300,350,200,5740,1.1,SAN JUAN,PR
00934,2400,600,500,340,1000,250,300,350,200,5940,1.2,GUAYNABO,PR
00936,1800,600,500,340,1000,250,300,350,200,5340,0.9,SAN JUAN,PR
00937,1600,600,500,340,1000,250,300,350,200,5140,0.8,CAROLINA,PR
00940,2000,600,500,340,1000,250,300,350,200,5540,1,SAN JUAN,PR
00949,2200,600,500,340,1000,250,300,350,200,5740,1.1,TOA BAJA,PR
00950,2400,600,500,340,1000,250,300,350,200,5940,1.2,TOA BAJA,PR
00951,1800,600,500,340,1000,250,300,350,200,5340,0.9,TOA BAJA,PR
00952,1600,600,500,340,1000,250,300,350,200,5140,0.8,SABANA SECA,PR
00953,2000,600,500,340,1000,250,300,350,200,5540,1,TOA ALTA,PR
00954,2200,600,500,340,1000,250,300,350,200,5740,1.1,TOA ALTA,PR
00955,2400,600,500,340,1000,250,300,350,200,5940,1.2,SAN JUAN,PR
00956,1800,600,500,340,1000,250,300,350,200,5340,0.9,BAYAMON,PR
00957,1600,600,500,340,1000,250,300,350,200,5140,0.8,BAYAMON,PR
00958,2000,600,500,340,1000,250,300,350,200,5540,1,BAYAMON,PR
00959,2200,600,500,340,1000,250,300,350,200,5740,1.1,BAYAMON,PR
00960,2400,600,500,340,1000,250,300,350,200,5940,1.2,BAYAMON,PR
00960,1800,600,500,340,1000,250,300,350,200,5340,0.9,BAYAMON,PR
00961,1600,600,500,340,1000,250,300,350,200,5140,0.8,BAYAMON,PR
00962,2000,600,500,340,1000,250,300,350,200,5540,1,CATANO,PR
00963,2200,600,500,340,1000,250,300,350,200,5740,1.1,CATANO,PR
00965,2400,600,500,340,1000,250,300,350,200,5940,1.2,CATANO,PR
00966,1800,600,500,340,1000,250,300,350,200,5340,0.9,GUAYNABO,PR
00968,1600,600,500,340,1000,250,300,350,200,5140,0.8,GUAYNABO,PR
00969,2000,600,500,340,1000,250,300,350,200,5540,1,GUAYNABO,PR
00970,2200,600,500,340,1000,250,300,350,200,5740,1.1,GUAYNABO,PR
00971,2400,600,500,340,1000,250,300,350,200,5940,1.2,GUAYNABO,PR
00976,1800,600,500,340,1000,250,300,350,200,5340,0.9,TRUJILLO ALTO,PR
00977,1600,600,500,340,1000,250,300,350,200,5140,0.8,TRUJILLO ALTO,PR
00978,2000,600,500,340,1000,250,300,350,200,5540,1,TRUJILLO ALTO,PR
00979,2200,600,500,340,1000,250,300,350,200,5740,1.1,CAROLINA,PR
00981,2400,600,500,340,1000,250,300,350,200,5940,1.2,CAROLINA,PR
00982,1800,600,500,340,1000,250,300,350,200,5340,0.9,CAROLINA,PR
00983,1600,600,500,340,1000,250,300,350,200,5140,0.8,CAROLINA,PR
00984,2000,600,500,340,1000,250,300,350,200,5540,1,CAROLINA,PR
00984,2200,600,500,340,1000,250,300,350,200,5740,1.1,CAROLINA,PR
00985,2400,600,500,340,1000,250,300,350,200,5940,1.2,CAROLINA,PR
00986,1800,600,500,340,1000,250,300,350,200,5340,0.9,CAROLINA,PR
00987,1600,600,500,340,1000,250,300,350,200,5140,0.8,CAROLINA,PR
00988,2000,600,500,340,1000,250,300,350,200,5540,1,CAROLINA,PR
01001,2200,600,500,340,1000,250,300,350,200,5740,1.1,AGAWAM,MA
01002,2400,600,500,340,1000,250,300,350,200,5940,1.2,AMHERST,MA
01004,1800,600,500,340,1000,250,300,350,200,5340,0.9,AMHERST,MA
01004,1600,600,500,340,1000,250,300,350,200,5140,0.8,AMHERST,MA
01005,2000,600,500,340,1000,250,300,350,200,5540,1,BARRE,MA
01007,2200,600,500,340,1000,250,300,350,200,5740,1.1,BELCHERTOWN,MA
01008,2400,600,500,340,1000,250,300,350,200,5940,1.2,BLANDFORD,MA
01009,1800,600,500,340,1000,250,300,350,200,5340,0.9,BONDSVILLE,MA
01010,1600,600,500,340,1000,250,300,350,200,5140,0.8,BRIMFIELD,MA
01011,2000,600,500,340,1000,250,300,350,200,5540,1,CHESTER,MA
01011,2200,600,500,340,1000,250,300,350,200,5740,1.1,HUNTINGTON,MA
01012,2400,600,500,340,1000,250,300,350,200,5940,1.2,CHESTERFIELD,MA
01013,1800,600,500,340,1000,250,300,350,200,5340,0.9,CHICOPEE,MA
01014,1600,600,500,340,1000,250,300,350,200,5140,0.8,CHICOPEE,MA
01020,2000,600,500,340,1000,250,300,350,200,5540,1,CHICOPEE,MA
01021,2200,600,500,340,1000,250,300,350,200,5740,1.1,CHICOPEE,MA
01022,2400,600,500,340,1000,250,300,350,200,5940,1.2,CHICOPEE,MA
01026,1800,600,500,340,1000,250,300,350,200,5340,0.9,CUMMINGTON,MA
01027,1600,600,500,340,1000,250,300,350,200,5140,0.8,EASTHAMPTON,MA
01028,2000,600,500,340,1000,250,300,350,200,5540,1,EAST LONGMEADOW,MA
01029,2200,600,500,340,1000,250,300,350,200,5740,1.1,EAST OTIS,MA
01030,2400,600,500,340,1000,250,300,350,200,5940,1.2,AGAWAM,MA
01030,1800,600,500,340,1000,250,300,350,200,5340,0.9,FEEDING HILLS,MA
01031,1600,600,500,340,1000,250,300,350,200,5140,0.8,GILBERTVILLE,MA
01032,2000,600,500,340,1000,250,300,350,200,5540,1,GOSHEN,MA
01033,2200,600,500,340,1000,250,300,350,200,5740,1.1,GRANBY,MA
01033,2400,600,500,340,1000,250,300,350,200,5940,1.2,SPRINGFIELD,MA
01034,1800,600,500,340,1000,250,300,350,200,5340,0.9,GRANVILLE,MA
01035,1600,600,500,340,1000,250,300,350,200,5140,0.8,AMHERST,MA
01035,2000,600,500,340,1000,250,300,350,200,5540,1,HADLEY,MA
01036,2200,600,500,340,1000,250,300,350,200,5740,1.1,HAMPDEN,MA
01037,2400,600,500,340,1000,250,300,350,200,5940,1.2,HARDWICK,MA
01038,1800,600,500,340,1000,250,300,350,200,5340,0.9,HATFIELD,MA
01039,1600,600,500,340,1000,250,300,350,200,5140,0.8,HAYDENVILLE,MA
01039,2000,600,500,340,1000,250,300,350,200,5540,1,WILLIAMSBURG,MA
01040,2200,600,500,340,1000,250,300,350,200,5740,1.1,HOLYOKE,MA
01041,2400,600,500,340,1000,250,300,350,200,5940,1.2,HOLYOKE,MA
01041,1800,600,500,340,1000,250,300,350,200,5340,0.9,HOLYOKE,MA
01050,1600,600,500,340,1000,250,300,350,200,5140,0.8,HUNTINGTON,MA
01053,2000,600,500,340,1000,250,300,350,200,5540,1,LEEDS,MA
01054,2200,600,500,340,1000,250,300,350,200,5740,1.1,LEVERETT,MA
01056,2400,600,500,340,1000,250,300,350,200,5940,1.2,LUDLOW,MA
01056,1800,600,500,340,1000,250,300,350,200,5340,0.9,WILBRAHAM,MA
01057,1600,600,500,340,1000,250,300,350,200,5140,0.8,MONSON,MA
01059,2000,600,500,340,1000,250,300,350,200,5540,1,NORTH AMHERST,MA
01060,2200,600,500,340,1000,250,300,350,200,5740,1.1,NORTHAMPTON,MA
01061,2400,600,500,340,1000,250,300,350,200,5940,1.2,NORTHAMPTON,MA
01062,1800,600,500,340,1000,250,300,350,200,5340,0.9,EASTHAMPTON,MA
01062,1600,600,500,340,1000,250,300,350,200,5140,0.8,FLORENCE,MA
01066,2000,600,500,340,1000,250,300,350,200,5540,1,NORTH HATFIELD,MA
01068,2200,600,500,340,1000,250,300,350,200,5740,1.1,OAKHAM,MA
01069,2400,600,500,340,1000,250,300,350,200,5940,1.2,PALMER,MA
01070,1800,600,500,340,1000,250,300,350,200,5340,0.9,CUMMINGTON,MA
01070,1600,600,500,340,1000,250,300,350,200,5140,0.8,PLAINFIELD,MA
01071,2000,600,500,340,1000,250,300,350,200,5540,1,RUSSELL,MA
01072,2200,600,500,340,1000,250,300,350,200,5740,1.1,AMHERST,MA
01072,2400,600,500,340,1000,250,300,350,200,5940,1.2,SHUTESBURY,MA
01073,1800,600,500,340,1000,250,300,350,200,5340,0.9,SOUTHAMPTON,MA
01074,1600,600,500,340,1000,250,300,350,200,5140,0.8,SOUTH BARRE,MA
01075,2000,600,500,340,1000,250,300,350,200,5540,1,SOUTH HADLEY,MA
01077,2200,600,500,340,1000,250,300,350,200,5740,1.1,SOUTHWICK,MA
01079,2400,600,500,340,1000,250,300,350,200,5940,1.2,THORNDIKE,MA
01080,1800,600,500,340,1000,250,300,350,200,5340,0.9,PALMER,MA
01080,1600,600,500,340,1000,250,300,350,200,5140,0.8,THREE RIVERS,MA
01081,2000,600,500,340,1000,250,300,350,200,5540,1,WALES,MA
01082,2200,600,500,340,1000,250,300,350,200,5740,1.1,WARE,MA
01083,2400,600,500,340,1000,250,300,350,200,5940,1.2,WARREN,MA
01083,1800,600,500,340,1000,250,300,350,200,5340,0.9,WARREN,MA
01084,1600,600,500,340,1000,250,300,350,200,5140,0.8,CHESTERFIELD,MA
01085,2000,600,500,340,1000,250,300,350,200,5540,1,WESTFIELD,MA
01086,2200,600,500,340,1000,250,300,350,200,5740,1.1,WESTFIELD,MA
01089,2400,600,500,340,1000,250,300,350,200,5940,1.2,AGAWAM,MA
01090,1800,600,500,340,1000,250,300,350,200,5340,0.9,WEST SPRINGFIELD,MA
01092,1600,600,500,340,1000,250,300,350,200,5140,0.8,WEST WARREN,MA
01093,2000,600,500,340,1000,250,300,350,200,5540,1,WHATELY,MA
01094,2200,600,500,340,1000,250,300,350,200,5740,1.1,WHEELWRIGHT,MA
01095,2400,600,500,340,1000,250,300,350,200,5940,1.2,WILBRAHAM,MA
01096,1800,600,500,340,1000,250,300,350,200,5340,0.9,WILLIAMSBURG,MA
01098,1600,600,500,340,1000,250,300,350,200,5140,0.8,WORTHINGTON,MA
01101,2000,600,500,340,1000,250,300,350,200,5540,1,SPRINGFIELD,MA
01102,2200,600,500,340,1000,250,300,350,200,5740,1.1,SPRINGFIELD,MA
01103,2400,600,500,340,1000,250,300,350,200,5940,1.2,SPRINGFIELD,MA
01103,1800,600,500,340,1000,250,300,350,200,5340,0.9,SPRINGFIELD,MA
01104,1600,600,500,340,1000,250,300,350,200,5140,0.8,SPRINGFIELD,MA
01105,2000,600,500,340,1000,250,300,350,200,5540,1,SPRINGFIELD,MA
01106,2200,600,500,340,1000,250,300,350,200,5740,1.1,EAST LONGMEADOW,MA
01107,2400,600,500,340,1000,250,300,350,200,5940,1.2,SPRINGFIELD,MA
01107,1800,600,500,340,1000,250,300,350,200,5340,0.9,SPRINGFIELD,MA
01108,1600,600,500,340,1000,250,300,350,200,5140,0.8,SPRINGFIELD,MA
01109,2000,600,500,340,1000,250,300,350,200,5540,1,SPRINGFIELD,MA
01115,2200,600,500,340,1000,250,300,350,200,5740,1.1,SPRINGFIELD,MA
01116,2400,600,500,340,1000,250,300,350,200,5940,1.2,LONGMEADOW,MA
01118,1800,600,500,340,1000,250,300,350,200,5340,0.9,EAST LONGMEADOW,MA
01119,1600,600,500,340,1000,250,300,350,200,5140,0.8,SPRINGFIELD,MA
01128,2000,600,500,340,1000,250,300,350,200,5540,1,EAST LONGMEADOW,MA
01129,2200,600,500,340,1000,250,300,350,200,5740,1.1,SPRINGFIELD,MA
01138,2400,600,500,340,1000,250,300,350,200,5940,1.2,SPRINGFIELD,MA
01139,1800,600,500,340,1000,250,300,350,200,5340,0.9,SPRINGFIELD,MA
01151,1600,600,500,340,1000,250,300,350,200,5140,0.8,INDIAN ORCHARD,MA
01151,2000,600,500,340,1000,250,300,350,200,5540,1,WILBRAHAM,MA
01201,2200,600,500,340,1000,250,300,350,200,5740,1.1,PITTSFIELD,MA
01202,2400,600,500,340,1000,250,300,350,200,5940,1.2,PITTSFIELD,MA
01220,1800,600,500,340,1000,250,300,350,200,5340,0.9,ADAMS,MA
01222,1600,600,500,340,1000,250,300,350,200,5140,0.8,ASHLEY FALLS,MA
01223,2000,600,500,340,1000,250,300,350,200,5540,1,BECKET,MA
01224,2200,600,500,340,1000,250,300,350,200,5740,1.1,LANESBOROUGH,MA
01225,2400,600,500,340,1000,250,300,350,200,5940,1.2,CHESHIRE,MA
01226,1800,600,500,340,1000,250,300,350,200,5340,0.9,PITTSFIELD,MA
01227,1600,600,500,340,1000,250,300,350,200,5140,0.8,DALTON,MA
01229,2000,600,500,340,1000,250,300,350,200,5540,1,STOCKBRIDGE,MA
01230,2200,600,500,340,1000,250,300,350,200,5740,1.1,GREAT BARRINGTON,MA
01235,2400,600,500,340,1000,250,300,350,200,5940,1.2,HINSDALE,MA
01236,1800,600,500,340,1000,250,300,350,200,5340,0.9,HOUSATONIC,MA
01237,1600,600,500,340,1000,250,300,350,200,5140,0.8,HANCOCK,MA
01237,2000,600,500,340,1000,250,300,350,200,5540,1,LANESBOROUGH,MA
01238,2200,600,500,340,1000,250,300,350,200,5740,1.1,LEE,MA
01240,2400,600,500,340,1000,250,300,350,200,5940,1.2,LENOX,MA
01240,1800,600,500,340,1000,250,300,350,200,5340,0.9,PITTSFIELD,MA
01242,1600,600,500,340,1000,250,300,350,200,5140,0.8,LENOX DALE,MA
01243,2000,600,500,340,1000,250,300,350,200,5540,1,MIDDLEFIELD,MA
01244,2200,600,500,340,1000,250,300,350,200,5740,1.1,MILL RIVER,MA
01245,2400,600,500,340,1000,250,300,350,200,5940,1.2,MONTEREY,MA
01247,1800,600,500,340,1000,250,300,350,200,5340,0.9,NORTH ADAMS,MA
01253,1600,600,500,340,1000,250,300,350,200,5140,0.8,OTIS,MA
01254,2000,600,500,340,1000,250,300,350,200,5540,1,RICHMOND,MA
01255,2200,600,500,340,1000,250,300,350,200,5740,1.1,OTIS,MA
01255,2400,600,500,340,1000,250,300,350,200,5940,1.2,SANDISFIELD,MA
01257,1800,600,500,340,1000,250,300,350,200,5340,0.9,SHEFFIELD,MA
01258,1600,600,500,340,1000,250,300,350,200,5140,0.8,SOUTH EGREMONT,MA
01259,2000,600,500,340,1000,250,300,350,200,5540,1,SOUTHFIELD,MA
01260,2200,600,500,340,1000,250,300,350,200,5740,1.1,SOUTH LEE,MA
01262,2400,600,500,340,1000,250,300,350,200,5940,1.2,STOCKBRIDGE,MA
01264,1800,600,500,340,1000,250,300,350,200,5340,0.9,LEE,MA
01266,1600,600,500,340,1000,250,300,350,200,5140,0.8,WEST STOCKBRIDGE,MA
01267,2000,600,500,340,1000,250,300,350,200,5540,1,WILLIAMSTOWN,MA
